Biomass Moisture ,Biomass Volatile matter,Biomass Fixed carbon,Biomass Ash,C% Biomass,H% Biomass,O% Biomass,N% Biomass,C% Polymer,H% Polymer,O% Polymer,N% Polymer,Cl% Polymer,h,C/min,w%P,C degrees,Char%
0.24,80.57,18.85,0.34,50.75,6.28,42.97,0,91.17,8.33,0.18,0.32,0,0.5,5,0,500,31.62
0.24,80.57,18.85,0.34,50.75,6.28,42.97,0,91.17,8.33,0.18,0.32,0,0.5,5,5,500,29.61
0.24,80.57,18.85,0.34,50.75,6.28,42.97,0,91.17,8.33,0.18,0.32,0,0.5,5,10,500,28.61
0.24,80.57,18.85,0.34,50.75,6.28,42.97,0,91.17,8.33,0.18,0.32,0,0.5,5,15,500,27.36
0.24,80.57,18.85,0.34,50.75,6.28,42.97,0,91.17,8.33,0.18,0.32,0,0.5,5,20,500,24.84
0.24,80.57,18.85,0.34,50.75,6.28,42.97,0,91.17,8.33,0.18,0.32,0,0.5,5,25,500,23.46
0.24,80.57,18.85,0.34,50.75,6.28,42.97,0,91.17,8.33,0.18,0.32,0,0.5,5,30,500,22.09
0.24,80.57,18.85,0.34,50.75,6.28,42.97,0,91.17,8.33,0.18,0.32,0,0.5,5,40,500,21.22
0.24,80.57,18.85,0.34,50.75,6.28,42.97,0,91.17,8.33,0.18,0.32,0,0.5,5,50,500,17.95
0.24,80.57,18.85,0.34,50.75,6.28,42.97,0,91.17,8.33,0.18,0.32,0,0.5,5,75,500,17.35
0.24,80.57,18.85,0.34,50.75,6.28,42.97,0,91.17,8.33,0.18,0.32,0,0.5,5,100,500,4.91
8,91,0.5,0.5,63.85,8.6,3.74,0.33,85.72,14.28,0,0,0,0.5,5,100,500,0
8,91,0.5,0.5,63.85,8.6,3.74,0.33,85.72,14.28,0,0,0,0.5,5,66.67,500,9.25
8,91,0.5,0.5,63.85,8.6,3.74,0.33,85.72,14.28,0,0,0,0.5,5,50,500,15.58
8,91,0.5,0.5,63.85,8.6,3.74,0.33,85.72,14.28,0,0,0,0.5,5,33.33,500,20.04
8,91,0.5,0.5,63.85,8.6,3.74,0.33,85.72,14.28,0,0,0,0.5,5,0,500,28.23
10.91,71.79,11.33,5.97,42.07,5.6,52.01,0.26,84.89,14.19,0,0.38,0,0.75,10,60,400,36.72
10.91,71.79,11.33,5.97,42.07,5.6,52.01,0.26,84.89,14.19,0,0.38,0,0.75,10,60,500,24.29
10.91,71.79,11.33,5.97,42.07,5.6,52.01,0.26,84.89,14.19,0,0.38,0,0.75,10,60,600,15.79
10.91,71.79,11.33,5.97,42.07,5.6,52.01,0.26,84.89,14.19,0,0.38,0,0.75,10,60,700,12.94
2,69.5,26,4.6,58,6.3,34,2.4,91,8.8,0.3,0,0,0.5,100,0,550,33
2,69.5,26,4.6,58,6.3,34,2.4,91,8.8,0.3,0,0,0.5,100,100,550,1
2,69.5,26,4.6,58,6.3,34,2.4,91,8.8,0.3,0,0,0.5,100,5,550,31
2,69.5,26,4.6,58,6.3,34,2.4,91,8.8,0.3,0,0,0.5,100,10,550,31
2,69.5,26,4.6,58,6.3,34,2.4,91,8.8,0.3,0,0,0.5,100,20,550,27
2,69.5,26,4.6,58,6.3,34,2.4,91,8.8,0.3,0,0,0.5,100,40,550,21
8,85.1,4,2,49.9,6.4,42.7,1,92.4,7.8,0,0,0,0.5,20,0,600,20.6
8,85.1,4,2,49.9,6.4,42.7,1,92.4,7.8,0,0,0,0.5,20,5,600,20.9
8,85.1,4,2,49.9,6.4,42.7,1,92.4,7.8,0,0,0,0.5,20,10,600,19.9
8,85.1,4,2,49.9,6.4,42.7,1,92.4,7.8,0,0,0,0.5,20,30,600,16.3
8,85.1,4,2,49.9,6.4,42.7,1,92.4,7.8,0,0,0,0.5,20,50,600,13.1
8,85.1,4,2,49.9,6.4,42.7,1,92.4,7.8,0,0,0,0.5,20,100,600,0
8,85.1,4,2,49.9,6.4,42.7,1,38.7,4.8,0,0,56.5,0.5,20,0,600,20.6
8,85.1,4,2,49.9,6.4,42.7,1,38.7,4.8,0,0,56.5,0.5,20,5,600,26.1
8,85.1,4,2,49.9,6.4,42.7,1,38.7,4.8,0,0,56.5,0.5,20,10,600,25.7
8,85.1,4,2,49.9,6.4,42.7,1,38.7,4.8,0,0,56.5,0.5,20,30,600,25.4
8,85.1,4,2,49.9,6.4,42.7,1,38.7,4.8,0,0,56.5,0.5,20,50,600,20.2
8,85.1,4,2,49.9,6.4,42.7,1,38.7,4.8,0,0,56.5,0.5,20,100,600,10.5
8,65,15,12,41.1,5.5,51.6,1.2,62.3,6.3,24,6.4,0,0.167,20,100,1100,18.531
8,65,15,12,41.1,5.5,51.6,1.2,62.3,6.3,24,6.4,0,0.167,20,90,1100,21.745
8,65,15,12,41.1,5.5,51.6,1.2,62.3,6.3,24,6.4,0,0.167,20,25,1100,20.915
8,65,15,12,41.1,5.5,51.6,1.2,62.3,6.3,24,6.4,0,0.167,20,50,1100,23.109
8,65,15,12,41.1,5.5,51.6,1.2,62.3,6.3,24,6.4,0,0.167,20,0,1100,31.478
8,65,15,12,41.1,5.5,51.6,1.2,62.3,6.3,24,6.4,0,0.167,20,100,900,21.373
8,65,15,12,41.1,5.5,51.6,1.2,62.3,6.3,24,6.4,0,0.167,20,90,900,23.577
8,65,15,12,41.1,5.5,51.6,1.2,62.3,6.3,24,6.4,0,0.167,20,25,900,24.894
8,65,15,12,41.1,5.5,51.6,1.2,62.3,6.3,24,6.4,0,0.167,20,50,900,31.32
8,65,15,12,41.1,5.5,51.6,1.2,62.3,6.3,24,6.4,0,0.167,20,0,900,34.383
8,65,15,12,41.1,5.5,51.6,1.2,62.3,6.3,24,6.4,0,0.167,20,100,700,30.783
8,65,15,12,41.1,5.5,51.6,1.2,62.3,6.3,24,6.4,0,0.167,20,90,700,35.387
8,65,15,12,41.1,5.5,51.6,1.2,62.3,6.3,24,6.4,0,0.167,20,25,700,38.157
8,65,15,12,41.1,5.5,51.6,1.2,62.3,6.3,24,6.4,0,0.167,20,50,700,43.951
8,65,15,12,41.1,5.5,51.6,1.2,62.3,6.3,24,6.4,0,0.167,20,0,700,41.457
8,65,15,12,41.1,5.5,51.6,1.2,62.3,6.3,24,6.4,0,0.167,20,50,700,44.084
8,65,15,12,41.1,5.5,51.6,1.2,62.3,6.3,24,6.4,0,0.167,20,50,900,31.507
8,65,15,12,41.1,5.5,51.6,1.2,62.3,6.3,24,6.4,0,0.167,20,50,1100,23.31
8,65,15,12,41.1,5.5,51.6,1.2,62.3,6.3,24,6.4,0,0.167,20,50,1250,21.176
8,78,12,2,50.8,5.6,43.4,0.1,62.3,6.3,24,6.4,0,0.167,20,50,700,43.239
8,78,12,2,50.8,5.6,43.4,0.1,62.3,6.3,24,6.4,0,0.167,20,50,900,26.359
8,78,12,2,50.8,5.6,43.4,0.1,62.3,6.3,24,6.4,0,0.167,20,50,1100,25
8,78,12,2,50.8,5.6,43.4,0.1,62.3,6.3,24,6.4,0,0.167,20,50,1250,19.563
6.9,77.6,12.7,2.85,49.52,8.76,38.75,2.59,92.2,7.8,0,0,0,0.5,80,10,550,27
6.9,77.6,12.7,2.85,49.52,8.76,38.75,2.59,92.2,7.8,0,0,0,0.5,80,20,550,23
6.9,77.6,12.7,2.85,49.52,8.76,38.75,2.59,92.2,7.8,0,0,0,0.5,80,30,550,29
6.9,77.6,12.7,2.85,49.52,8.76,38.75,2.59,76,8.54,9.46,6,0,0.5,80,10,550,29
6.9,77.6,12.7,2.85,49.52,8.76,38.75,2.59,76,8.54,9.46,6,0,0.5,80,20,550,22
6.9,77.6,12.7,2.85,49.52,8.76,38.75,2.59,76,8.54,9.46,6,0,0.5,80,30,550,32
15.3,60.4,24.2,0.1,45.95,8.77,43.16,2.12,85.4,13.9,0.07,0,0,0.5,10,50,600,45
15.3,60.4,24.2,0.1,45.95,8.77,43.16,2.12,85.4,13.9,0.07,0,0,0.5,10,33.3,600,41
15.3,60.4,24.2,0.1,45.95,8.77,43.16,2.12,85.4,13.9,0.07,0,0,0.5,10,66.7,600,38
9.5,67.6,6.3,16.6,49.2,2.2,48,0.44,85.1,14.3,0,0.3,0,0.583,5,80,390,10
9.5,67.6,6.3,16.6,49.2,2.2,48,0.44,85.1,14.3,0,0.3,0,0.583,5,70,390,19
9.5,67.6,6.3,16.6,49.2,2.2,48,0.44,85.1,14.3,0,0.3,0,0.583,5,60,390,22
9.5,67.6,6.3,16.6,49.2,2.2,48,0.44,85.1,14.3,0,0.3,0,0.583,5,50,390,28
4.01,79.61,10.38,6,50.61,7.31,24.75,6.68,84.32,15.47,0,0,0,0.5,10,25,600,14
4.01,79.61,10.38,6,50.61,7.31,24.75,6.68,84.32,15.47,0,0,0,0.5,10,33,600,11
4.01,79.61,10.38,6,50.61,7.31,24.75,6.68,84.32,15.47,0,0,0,0.5,10,50,600,8
4.01,79.61,10.38,6,50.61,7.31,24.75,6.68,84.32,15.47,0,0,0,0.5,10,67,600,5
4.01,79.61,10.38,6,50.61,7.31,24.75,6.68,84.32,15.47,0,0,0,0.5,10,75,600,3
7.8,93.3,6.7,0.3,50.1,5.4,48.6,0.1,82.5,13.1,1.8,0.1,0,0.5,10,50,500,15
7.8,93.3,6.7,0.3,50.1,5.4,48.6,0.1,83.3,12.6,0.7,0,0,0.5,10,50,500,13.1
7.8,93.3,6.7,0.3,50.1,5.4,48.6,0.1,69,5,32.7,0,0,0.5,10,50,500,37.9
7.8,93.3,6.7,0.3,50.1,5.4,48.6,0.1,81,11.4,0.6,0.1,0,0.5,10,50,500,15.1
7.8,93.3,6.7,0.3,50.1,5.4,48.6,0.1,87.8,9.5,0,0,0,0.5,10,50,500,16.3
3.13,81.5,13.79,1.58,49.5,6.43,42.99,0.07,84.8,14.55,0.28,0.14,0,0.83,5,30,600,16.51
4.5,87.55,6.65,1.3,47.5,6.37,40.85,0.29,84.8,14.55,0.28,0.14,0,0.83,5,30,600,23.2
