Biomass Moisture ,Biomass Volatile matter,Biomass Fixed carbon,Biomass Ash,C% Biomass,H% Biomass,O% Biomass,N% Biomass,C% Polymer,H% Polymer,O% Polymer,N% Polymer,Cl% Polymer,h,C/min,w%P,C degrees,Liquid%
8,91,0.5,0.5,63.85,8.6,3.74,0.33,85.72,14.28,0,0,0,0.5,5,100,500,56
8,91,0.5,0.5,63.85,8.6,3.74,0.33,85.72,14.28,0,0,0,0.5,5,66.67,500,66.3
8,91,0.5,0.5,63.85,8.6,3.74,0.33,85.72,14.28,0,0,0,0.5,5,50,500,51.4
8,91,0.5,0.5,63.85,8.6,3.74,0.33,85.72,14.28,0,0,0,0.5,5,33.33,500,51.81
8,91,0.5,0.5,63.85,8.6,3.74,0.33,85.72,14.28,0,0,0,0.5,5,0,500,39.15
6.9,92.9,0,0.3,44.6,6.4,49,0,90.2,8.5,1.3,0,0,1,5,0,500,45.5
6.9,92.9,0,0.3,44.6,6.4,49,0,90.2,8.5,1.3,0,0,1,5,25,500,52.9
6.9,92.9,0,0.3,44.6,6.4,49,0,90.2,8.5,1.3,0,0,1,5,50,500,58.8
6.9,92.9,0,0.3,44.6,6.4,49,0,90.2,8.5,1.3,0,0,1,5,75,500,80.1
6.9,92.9,0,0.3,44.6,6.4,49,0,90.2,8.5,1.3,0,0,1,5,100,500,94.8
10.91,71.79,11.33,5.97,42.07,5.6,52.01,0.26,84.89,14.19,0,0.38,0,0.75,10,60,400,49.75
10.91,71.79,11.33,5.97,42.07,5.6,52.01,0.26,84.89,14.19,0,0.38,0,0.75,10,60,500,58.99
10.91,71.79,11.33,5.97,42.07,5.6,52.01,0.26,84.89,14.19,0,0.38,0,0.75,10,60,600,63.67
10.91,71.79,11.33,5.97,42.07,5.6,52.01,0.26,84.89,14.19,0,0.38,0,0.75,10,60,700,60.66
10.91,71.79,11.33,5.97,42.07,5.6,52.01,0.26,84.89,14.19,0,0.38,0,0.75,10,0,600,41.03
10.91,71.79,11.33,5.97,42.07,5.6,52.01,0.26,84.89,14.19,0,0.38,0,0.75,10,20,600,55.11
10.91,71.79,11.33,5.97,42.07,5.6,52.01,0.26,84.89,14.19,0,0.38,0,0.75,10,40,600,63.71
10.91,71.79,11.33,5.97,42.07,5.6,52.01,0.26,84.89,14.19,0,0.38,0,0.75,10,60,600,72.52
10.91,71.79,11.33,5.97,42.07,5.6,52.01,0.26,84.89,14.19,0,0.38,0,0.75,10,100,600,83.31
2,69.5,26,4.6,58,6.3,34,2.4,91,8.8,0.3,0,0,0.5,100,0,550,39
2,69.5,26,4.6,58,6.3,34,2.4,91,8.8,0.3,0,0,0.5,100,100,550,82
2,69.5,26,4.6,58,6.3,34,2.4,91,8.8,0.3,0,0,0.5,100,5,550,40
2,69.5,26,4.6,58,6.3,34,2.4,91,8.8,0.3,0,0,0.5,100,10,550,42
2,69.5,26,4.6,58,6.3,34,2.4,91,8.8,0.3,0,0,0.5,100,20,550,51
2,69.5,26,4.6,58,6.3,34,2.4,91,8.8,0.3,0,0,0.5,100,40,550,62
8,85.1,4,2,49.9,6.4,42.7,1,92.4,7.8,0,0,0,0.5,20,0,600,63.7
8,85.1,4,2,49.9,6.4,42.7,1,92.4,7.8,0,0,0,0.5,20,5,600,63
8,85.1,4,2,49.9,6.4,42.7,1,92.4,7.8,0,0,0,0.5,20,10,600,64.2
8,85.1,4,2,49.9,6.4,42.7,1,92.4,7.8,0,0,0,0.5,20,30,600,68.6
8,85.1,4,2,49.9,6.4,42.7,1,92.4,7.8,0,0,0,0.5,20,50,600,78.6
8,85.1,4,2,49.9,6.4,42.7,1,92.4,7.8,0,0,0,0.5,20,100,600,99.5
0.24,80.57,18.85,0.34,50.75,6.28,42.97,0,91.17,8.33,0.18,0.32,0,0.5,5,0,500,48.88
0.24,80.57,18.85,0.34,50.75,6.28,42.97,0,91.17,8.33,0.18,0.32,0,0.5,5,5,500,50.78
0.24,80.57,18.85,0.34,50.75,6.28,42.97,0,91.17,8.33,0.18,0.32,0,0.5,5,10,500,51.54
0.24,80.57,18.85,0.34,50.75,6.28,42.97,0,91.17,8.33,0.18,0.32,0,0.5,5,15,500,52.43
0.24,80.57,18.85,0.34,50.75,6.28,42.97,0,91.17,8.33,0.18,0.32,0,0.5,5,20,500,53.82
0.24,80.57,18.85,0.34,50.75,6.28,42.97,0,91.17,8.33,0.18,0.32,0,0.5,5,25,500,54.2
0.24,80.57,18.85,0.34,50.75,6.28,42.97,0,91.17,8.33,0.18,0.32,0,0.5,5,30,500,54.97
0.24,80.57,18.85,0.34,50.75,6.28,42.97,0,91.17,8.33,0.18,0.32,0,0.5,5,40,500,55.61
0.24,80.57,18.85,0.34,50.75,6.28,42.97,0,91.17,8.33,0.18,0.32,0,0.5,5,50,500,59.78
0.24,80.57,18.85,0.34,50.75,6.28,42.97,0,91.17,8.33,0.18,0.32,0,0.5,5,75,500,63.59
0.24,80.57,18.85,0.34,50.75,6.28,42.97,0,91.17,8.33,0.18,0.32,0,0.5,5,100,500,78.11
6.89,77.58,12.68,2.85,49.52,8.76,38.75,2.59,92.2,7.8,0,0,0,0.5,80,10,550,41
6.89,77.58,12.68,2.85,49.52,8.76,38.75,2.59,92.2,7.8,0,0,0,0.5,80,20,550,46
6.89,77.58,12.68,2.85,49.52,8.76,38.75,2.59,92.2,7.8,0,0,0,0.5,80,30,550,45
6.89,77.58,12.68,2.85,49.52,8.76,38.75,2.59,76,8.54,9.46,6,0,0.5,80,10,550,38
6.89,77.58,12.68,2.85,49.52,8.76,38.75,2.59,76,8.54,9.46,6,0,0.5,80,20,550,43
6.89,77.58,12.68,2.85,49.52,8.76,38.75,2.59,76,8.54,9.46,6,0,0.5,80,30,550,41
15.3,60.4,24.2,0.1,45.95,8.77,43.16,2.12,85.4,13.9,0.07,0,0,0.33,10,50,600,25
15.3,60.4,24.2,0.1,45.95,8.77,43.16,2.12,85.4,13.9,0.07,0,0,0.33,10,33.3,600,17.5
15.3,60.4,24.2,0.1,45.95,8.77,43.16,2.12,85.4,13.9,0.07,0,0,0.33,10,66.7,600,30.5
9.5,67.6,16.6,6.3,49.2,2.2,48,0.44,85.1,14.3,0,0.3,0,0.58,5,80,390,68
9.5,67.6,16.6,6.3,49.2,2.2,48,0.44,85.1,14.3,0,0.3,0,0.58,5,70,390,60
9.5,67.6,16.6,6.3,49.2,2.2,48,0.44,85.1,14.3,0,0.3,0,0.58,5,60,390,60
